"company_name","location","location_type","sales","url","phone_number","rnk"
"China Nat Ional Petroleum Corporation","Beijing(China)","Headquarters",439113966449,"www.cnpc.com.cn",1059984538,1
"China Petrochemical Corporation","Beijing(China)","Headquarters",436333387593,"www.sinopecgroup.com",1059969295,2
"China Petroleum & Chemical Corporation","Beijing(China)","Headquarters",428729075280,"www.sinopec.com",1059960028,3
"Petro China Company Limited","Beijing(China)","Headquarters",408936470580,"www.petrochina.com.cn",NULL,4
"All China Federation Of Supply And Marketing Cooperatives","Beijing(China)","Headquarters",357977400000,NULL,1066050430,5
"Beijing State-Owned Capital Operation And Management Company Limited","Beijing(China)","Headquarters",220052928790,"www.bscomc.com",1058582803,6
"China International United Petroleum And Chemicals Co. Ltd","Beijing(China)","Headquarters",207813568430,"www.sinopec.com",NULL,7
"Hainan Longmen Technology Co., Ltd.","Hainan(China)","Headquarters",178300448222,"www.lmkjjt.com.cn",NULL,8
"China State Railway Group Co., Ltd","Beijing(China)","Headquarters",176965271618,"www.china-railway.com.cn",1051844150,9
"China Construction Bank Corporation","Beijing(China)","Headquarters",170317841551,"www.ccb.com",1066215533,10
"China Railway Group Limited","Beijing(China)","Headquarters",167881163225,"www.crec.cn",1051878413,11
"Industrial And Commercial Bank Of China Limited","Beijing(China)","Headquarters",159959026050,"www.icbc-ltd.com",1066108608,12
"China Railway Construction Corporation Limited","Beijing(China)","Headquarters",159549992199,"www.crcc.cn",1052688600,13
"China Baowu Steel Group Corporation Limited","Shanghai(China)","Headquarters",152080564607,"www.baowugroup.com",NULL,14
"China Minmetals Corporation","Beijing(China)","Headquarters",132981399956,"www.minmetals.com.cn",1068495888,15
"Beijing Jingdong Century Trading Co.,Ltd","Beijing(China)","Headquarters",132544851914,"www.afmlxz.com",1089128888,16
"Agricultural Bank Of China Limited","Beijing(China)","Headquarters",126223668450,"www.abchina.com",1085109619,17
"State Grid Corporation Of China","Beijing(China)","Headquarters",125675108063,"www.sgcc.com.cn",1066598348,18
"Shanghai Automotive Co., Ltd.","Shanghai(China)","Headquarters",121983477846,"www.saicmotor.com",2122011138,19
"Shandong Energy Group Co., Ltd","Shandong(China)","Headquarters",121087694606,"www.ykjt.cn",5375386982,20
"China Resources Co.,Limited","Guangdong(China)","Headquarters",120675688705,"www.crc.com.hk",75582668888,21
"Shenzhen Zhaoji Optical Co., Ltd.","Guangdong(China)","Headquarters",113745694017,"www.zhao-ji.com",75529926029,22
"Xiamen C&D Inc.","Fujian(China)","Headquarters",110721036064,"www.chinacnd.com",5922263333,23
"China Faw Group Co., Ltd.","Jilin(China)","Headquarters",110384985213,"www.faw.com.cn",43182021268,24
"Sinopec Northwest Oil Field Branch","Xinjiang(China)","Headquarters",110364180500,"www.sinopec.com",NULL,25
